Date,Open,High,Low,Close,Volume,Adjusted Close
2014-11-24,1484.09,1487.59,1469.72,1475.09,0.0,1475.09
2014-11-21,1481.06,1497.2,1477.06,1485.83,0.0,1485.83
2014-11-20,1441.49,1460.44,1441.18,1459.63,0.0,1459.63
2014-11-19,1439.26,1445.59,1425.0,1441.07,0.0,1441.07
2014-11-18,1429.17,1441.53,1422.93,1435.16,0.0,1435.16
2014-11-17,1434.64,1435.22,1421.97,1427.1,0.0,1427.1
2014-11-14,1425.69,1439.53,1422.1,1438.32,0.0,1438.32
2014-11-13,1443.26,1443.26,1410.4,1424.08,0.0,1424.08
2014-11-12,1456.95,1467.44,1448.21,1450.28,0.0,1450.28
2014-11-11,1459.31,1468.0,1448.82,1464.01,0.0,1464.01
2014-11-10,1483.33,1489.45,1458.86,1462.18,0.0,1462.18
2014-11-07,1460.69,1480.48,1460.69,1473.69,0.0,1473.69
2014-11-06,1445.99,1460.69,1436.73,1460.69,0.0,1460.69
2014-11-05,1442.92,1454.84,1430.74,1448.99,0.0,1448.99
2014-11-04,1439.48,1441.42,1419.4,1430.35,0.0,1430.35
2014-11-03,1484.03,1488.34,1451.3,1454.66,0.0,1454.66
2014-10-31,1463.54,1485.28,1450.6,1485.08,0.0,1485.08
2014-10-30,1458.77,1468.81,1446.23,1461.96,0.0,1461.96
2014-10-29,1478.95,1489.16,1449.03,1462.52,0.0,1462.52
2014-10-28,1439.18,1463.32,1429.89,1461.89,0.0,1461.89
2014-10-27,1434.52,1434.52,1412.72,1427.28,0.0,1427.28
2014-10-24,1456.18,1458.33,1438.37,1454.7,0.0,1454.7
2014-10-23,1453.14,1469.72,1447.28,1458.02,0.0,1458.02
2014-10-22,1460.71,1472.23,1435.59,1435.92,0.0,1435.92
2014-10-21,1437.07,1463.98,1437.07,1460.71,0.0,1460.71
2014-10-20,1406.95,1421.84,1402.54,1421.56,0.0,1421.56
2014-10-17,1418.09,1436.91,1402.11,1412.34,0.0,1412.34
2014-10-16,1355.46,1409.56,1345.62,1397.67,0.0,1397.67
2014-10-15,1366.81,1380.75,1335.64,1376.5,0.0,1376.5
2014-10-14,1409.66,1417.92,1380.48,1384.71,0.0,1384.71
2014-10-13,1437.94,1453.74,1402.58,1402.93,0.0,1402.93
2014-10-10,1457.01,1465.64,1428.98,1438.03,0.0,1438.03
2014-10-09,1502.78,1502.78,1459.23,1461.57,0.0,1461.57
2014-10-08,1492.15,1513.19,1469.01,1512.56,0.0,1512.56
2014-10-07,1509.59,1521.28,1493.14,1493.34,0.0,1493.34
2014-10-06,1518.6,1527.7,1505.85,1513.89,0.0,1513.89
2014-10-03,1515.19,1519.01,1500.75,1511.74,0.0,1511.74
2014-10-02,1518.56,1523.07,1487.27,1514.05,0.0,1514.05
2014-10-01,1552.04,1555.65,1518.13,1523.37,0.0,1523.37
2014-09-30,1570.45,1571.15,1544.89,1552.04,0.0,1552.04
2014-09-29,1565.92,1573.68,1556.39,1570.45,0.0,1570.45
2014-09-26,1565.91,1589.43,1563.0,1583.15,0.0,1583.15
2014-09-25,1586.6,1586.64,1566.0,1566.33,0.0,1566.33
2014-09-24,1580.74,1599.38,1570.18,1591.62,0.0,1591.62
2014-09-23,1593.22,1598.71,1580.99,1581.83,0.0,1581.83
2014-09-22,1611.6,1611.78,1589.54,1593.04,0.0,1593.04
2014-09-19,1623.83,1628.15,1618.19,1618.19,0.0,1618.19
2014-09-18,1629.02,1630.31,1614.01,1617.2,0.0,1617.2
2014-09-17,1634.13,1637.75,1623.16,1626.73,0.0,1626.73
2014-09-16,1612.78,1641.87,1611.44,1631.89,0.0,1631.89
2014-09-15,1598.58,1617.82,1592.73,1614.6,0.0,1614.6
2014-09-12,1616.88,1617.41,1596.51,1602.09,0.0,1602.09
2014-09-11,1619.31,1628.32,1611.66,1624.98,0.0,1624.98
2014-09-10,1633.16,1633.16,1610.99,1628.81,0.0,1628.81
2014-09-09,1642.54,1647.05,1624.29,1633.16,0.0,1633.16
2014-09-08,1662.48,1662.48,1636.5,1642.54,0.0,1642.54
2014-09-05,1659.62,1669.72,1650.25,1669.72,0.0,1669.72
2014-09-04,1683.18,1687.6,1653.15,1659.61,0.0,1659.61
2014-09-03,1681.07,1689.84,1679.43,1680.15,0.0,1680.15
2014-09-02,1688.14,1688.14,1665.55,1674.27,0.0,1674.27
