Date,Adjusted Close,High (est),Low (est)
2014-07-21,35.0813184963,0.028861,0.028154
2014-07-18,34.6591618028,0,0
2014-07-17,34.322272409,0,0
2014-07-16,34.322272409,0,0
2014-07-15,34.322272409,0.029491,0.028785
2014-07-14,34.1085059792,0,0
2014-07-11,33.9879410785,0,0
2014-07-10,34.2204412384,0,0
2014-07-09,34.406352789,0.029418,0.028715
2014-07-08,34.4360917791,0,0
2014-07-07,34.322272409,0.029491,0.028785
2014-07-04,34.2004281894,0,0
2014-07-03,34.2004281894,0,0
2014-07-02,34.0394244614,0,0
2014-07-01,33.8536641513,0,0
2014-06-30,33.8280116233,0,0
2014-06-27,33.8280116233,0,0
2014-06-26,33.8280116233,0,0
2014-06-25,34.0329370765,0,0
2014-06-24,34.3392442619,0,0
2014-06-23,34.4360917791,0,0
2014-06-20,34.4909650917,0.029346,0.028644
2014-06-19,34.6782723285,0,0
2014-06-18,34.6782723285,0.029175,0.028502
2014-06-17,34.5069134601,0,0
2014-06-16,34.406352789,0,0
2014-06-13,34.406352789,0,0
2014-06-12,34.406352789,0,0
2014-06-11,34.406352789,0,0
2014-06-10,34.406352789,0.029418,0.028715
2014-06-09,34.6234012644,0,0
2014-06-06,34.935962381,0,0
2014-06-05,35.0414891231,0,0
2014-06-04,35.0414891231,0.028857,0.028222
2014-06-03,34.8280365694,0,0
2014-06-02,34.8280365694,0.029035,0.028393
2014-05-30,34.5543695728,0,0
2014-05-29,34.3896693433,0,0
2014-05-28,34.2004281894,0,0
2014-05-27,34.2204412384,0,0
2014-05-26,34.2204412384,0,0
2014-05-23,34.322272409,0.029491,0.028785
2014-05-22,34.3857670433,0,0
2014-05-21,34.649914588,0,0
2014-05-20,34.649914588,0,0
2014-05-19,34.8104570613,0,0
2014-05-16,34.8104570613,0,0
2014-05-15,34.8104570613,0.029064,0.028394
2014-05-14,35.010940919,0.028884,0.028245
2014-05-13,35.1340716173,0.028781,0.028148
2014-05-12,35.124569285,0.028825,0.028119
2014-05-09,35.1031154015,0.028808,0.028171
2014-05-08,35.4289560858,0.028547,0.027908
2014-05-07,35.6325852866,0.028404,0.027728
2014-05-06,35.763076769,0,0
2014-05-05,35.7504191737,0.028309,0.027638
2014-05-02,35.6325852866,0.028404,0.027728
2014-05-01,35.8118730684,0,0
2014-04-30,35.8118730684,0,0
2014-04-29,35.8703216133,0,0
2014-04-28,35.8703216133,0,0
2014-04-25,35.665627608,0,0
2014-04-24,35.665627608,0,0
2014-04-23,35.665627608,0,0
2014-04-22,35.665627608,0,0
2014-04-21,35.6780979292,0.028368,0.027693
2014-04-18,35.934642073,0.028164,0.027497
2014-04-17,36.0533156432,0,0
2014-04-16,36.0533156432,0.02806,0.027417
2014-04-15,35.8200828877,0,0
2014-04-14,35.6325852866,0,0
2014-04-11,35.6325852866,0.028404,0.027728
2014-04-10,35.665627608,0,0
2014-04-09,35.4967413991,0,0
2014-04-08,35.4967413991,0.028513,0.027835
2014-04-07,35.3821985083,0.028584,0.027945
2014-04-04,35.3613041249,0,0
2014-04-03,35.1678031728,0.02879,0.028085
2014-04-02,35.1806703325,0.028743,0.02811
2014-04-01,35.4757115541,0.028509,0.027871
2014-03-31,35.665627608,0,0
2014-03-28,35.5419074631,0.028476,0.027799
2014-03-27,35.6116478578,0,0
2014-03-26,35.934642073,0.028164,0.027497
2014-03-25,36.1968675231,0.027949,0.027308
2014-03-24,36.3168866259,0.027873,0.027202
2014-03-21,36.1828536693,0.02795,0.027329
2014-03-20,36.1968675231,0.027949,0.027308
2014-03-19,36.4105066158,0.027802,0.027132
2014-03-18,36.5493068424,0,0
2014-03-17,36.577247489,0,0
2014-03-14,36.4435471233,0,0
2014-03-13,36.4435471233,0,0
2014-03-12,36.4105066158,0,0
2014-03-11,36.4105066158,0.027802,0.027132
2014-03-10,36.3382656473,0,0
2014-03-07,36.1489771647,0,0
2014-03-06,36.1489771647,0.027986,0.027344
2014-03-05,36.330344557,0.027836,0.027218
2014-03-04,36.2857868573,0,0
2014-03-03,36.0218868985,0,0
2014-02-28,36.0058041356,0.028098,0.027453
2014-02-27,35.7504191737,0.028309,0.027638
2014-02-26,35.5419074631,0.028476,0.027799
2014-02-25,35.6116478578,0,0
2014-02-24,35.6116478578,0,0
2014-02-21,35.7504191737,0.028309,0.027638
2014-02-20,35.4967413991,0.028513,0.027835
2014-02-19,35.2893016953,0.02866,0.028018
2014-02-18,35.1678031728,0.02879,0.028085
2014-02-17,35.0414891231,0.028857,0.028222
2014-02-14,34.9192492361,0.02896,0.028319
2014-02-13,34.7970116326,0,0
2014-02-12,34.7662836581,0,0
2014-02-11,34.7662836581,0.029101,0.02843
2014-02-10,34.7970116326,0,0
2014-02-07,34.8104570613,0.029064,0.028394
2014-02-06,35.0569675723,0.028846,0.028208
2014-02-05,35.2548396081,0.028719,0.028016
2014-02-04,35.2893016953,0.02866,0.028018
2014-02-03,35.1678031728,0.02879,0.028085
2014-01-31,34.9952581425,0.028895,0.028259
2014-01-30,34.7970116326,0,0
2014-01-29,34.6344335538,0,0
2014-01-28,34.6344335538,0.029212,0.028538
2014-01-27,34.2969636898,0,0
